directory,image_name,binary_cat,multi_cat
./dataset/healthy,Healthy_15.jpg,healthy,healthy
./dataset/healthy,Healthy_69.jpg,healthy,healthy
./dataset/healthy,Healthy_2.jpg,healthy,healthy
./dataset/healthy,Healthy_107.jpg,healthy,healthy
./dataset/healthy,Healthy_210.jpg,healthy,healthy
./dataset/healthy,Healthy_5.jpg,healthy,healthy
./dataset/healthy,Healthy_100.jpg,healthy,healthy
./dataset/healthy,Healthy_217.jpg,healthy,healthy
./dataset/healthy,Healthy_12.jpg,healthy,healthy
./dataset/healthy,Healthy_60.jpg,healthy,healthy
./dataset/healthy,Healthy_219.jpg,healthy,healthy
./dataset/healthy,Healthy_172.jpg,healthy,healthy
./dataset/healthy,Healthy_175.jpg,healthy,healthy
./dataset/healthy,Healthy_67.jpg,healthy,healthy
./dataset/healthy,Healthy_109.jpg,healthy,healthy
./dataset/healthy,Healthy_191.jpg,healthy,healthy
./dataset/healthy,Healthy_140.jpg,healthy,healthy
./dataset/healthy,Healthy_83.jpg,healthy,healthy
./dataset/healthy,Healthy_52.jpg,healthy,healthy
./dataset/healthy,Healthy_84.jpg,healthy,healthy
./dataset/healthy,Healthy_55.jpg,healthy,healthy
./dataset/healthy,Healthy_29.jpg,healthy,healthy
./dataset/healthy,Healthy_196.jpg,healthy,healthy
./dataset/healthy,Healthy_147.jpg,healthy,healthy
./dataset/healthy,Healthy_135.jpg,healthy,healthy
./dataset/healthy,Healthy_27.jpg,healthy,healthy
./dataset/healthy,Healthy_198.jpg,healthy,healthy
./dataset/healthy,Healthy_149.jpg,healthy,healthy
./dataset/healthy,Healthy_20.jpg,healthy,healthy
./dataset/healthy,Healthy_132.jpg,healthy,healthy
./dataset/healthy,Healthy_31.jpg,healthy,healthy
./dataset/healthy,Healthy_123.jpg,healthy,healthy
./dataset/healthy,Healthy_124.jpg,healthy,healthy
./dataset/healthy,Healthy_158.jpg,healthy,healthy
./dataset/healthy,Healthy_189.jpg,healthy,healthy
./dataset/healthy,Healthy_36.jpg,healthy,healthy
./dataset/healthy,Healthy_44.jpg,healthy,healthy
./dataset/healthy,Healthy_95.jpg,healthy,healthy
./dataset/healthy,Healthy_156.jpg,healthy,healthy
./dataset/healthy,Healthy_187.jpg,healthy,healthy
./dataset/healthy,Healthy_38.jpg,healthy,healthy
./dataset/healthy,Healthy_151.jpg,healthy,healthy
./dataset/healthy,Healthy_180.jpg,healthy,healthy
./dataset/healthy,Healthy_43.jpg,healthy,healthy
./dataset/healthy,Healthy_92.jpg,healthy,healthy
./dataset/healthy,Healthy_164.jpg,healthy,healthy
./dataset/healthy,Healthy_118.jpg,healthy,healthy
./dataset/healthy,Healthy_76.jpg,healthy,healthy
./dataset/healthy,Healthy_208.jpg,healthy,healthy
./dataset/healthy,Healthy_71.jpg,healthy,healthy
./dataset/healthy,Healthy_163.jpg,healthy,healthy
./dataset/healthy,Healthy_206.jpg,healthy,healthy
./dataset/healthy,Healthy_111.jpg,healthy,healthy
./dataset/healthy,Healthy_201.jpg,healthy,healthy
./dataset/healthy,Healthy_116.jpg,healthy,healthy
./dataset/healthy,Healthy_78.jpg,healthy,healthy
./dataset/healthy,Healthy_21.jpg,healthy,healthy
./dataset/healthy,Healthy_133.jpg,healthy,healthy
./dataset/healthy,Healthy_134.jpg,healthy,healthy
./dataset/healthy,Healthy_26.jpg,healthy,healthy
./dataset/healthy,Healthy_199.jpg,healthy,healthy
./dataset/healthy,Healthy_148.jpg,healthy,healthy
